DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;PercentTransmittance
DECIMALSYMBOL	 .
1299.00	 97.58
1300.00	 97.58
1301.00	 97.57
1302.00	 97.57
1303.00	 97.58
1304.00	 97.58
1305.00	 97.57
1306.00	 97.58
1307.00	 97.58
1308.00	 97.58
1309.00	 97.58
1310.00	 97.59
1311.00	 97.60
1312.00	 97.61
1313.00	 97.62
1314.00	 97.64
1315.00	 97.66
1316.00	 97.68
1317.00	 97.69
1318.00	 97.71
1319.00	 97.72
1320.00	 97.73
1321.00	 97.75
1322.00	 97.77
1323.00	 97.79
1324.00	 97.80
1325.00	 97.81
1326.00	 97.81
1327.00	 97.81
1328.00	 97.82
1329.00	 97.82
1330.00	 97.82
1331.00	 97.83
1332.00	 97.83
1333.00	 97.83
1334.00	 97.84
1335.00	 97.83
1336.00	 97.82
1337.00	 97.79
1338.00	 97.76
1339.00	 97.73
1340.00	 97.69
1341.00	 97.67
1342.00	 97.65
1343.00	 97.64
1344.00	 97.63
1345.00	 97.61
1346.00	 97.58
1347.00	 97.54
1348.00	 97.51
1349.00	 97.48
1350.00	 97.46
1351.00	 97.45
1352.00	 97.45
1353.00	 97.45
1354.00	 97.45
1355.00	 97.45
1356.00	 97.46
1357.00	 97.47
1358.00	 97.47
1359.00	 97.47
1360.00	 97.45
1361.00	 97.42
1362.00	 97.38
1363.00	 97.35
1364.00	 97.32
1365.00	 97.28
1366.00	 97.25
1367.00	 97.23
1368.00	 97.23
1369.00	 97.23
1370.00	 97.25
1371.00	 97.29
1372.00	 97.34
1373.00	 97.39
1374.00	 97.44
1375.00	 97.49
1376.00	 97.52
1377.00	 97.53
1378.00	 97.54
1379.00	 97.57
1380.00	 97.61
1381.00	 97.65
1382.00	 97.70
1383.00	 97.74
1384.00	 97.77
1385.00	 97.80
1386.00	 97.81
1387.00	 97.83
1388.00	 97.83
1389.00	 97.83
1390.00	 97.83
1391.00	 97.83
1392.00	 97.83
1393.00	 97.82
1394.00	 97.82
1395.00	 97.82
1396.00	 97.82
1397.00	 97.81
1398.00	 97.80
1399.00	 97.79
1400.00	 97.79
1401.00	 97.78
1402.00	 97.77
1403.00	 97.77
1404.00	 97.76
1405.00	 97.75
1406.00	 97.73
1407.00	 97.72
1408.00	 97.71
1409.00	 97.69
1410.00	 97.68
1411.00	 97.68
1412.00	 97.68
1413.00	 97.67
1414.00	 97.65
1415.00	 97.64
1416.00	 97.63
1417.00	 97.61
1418.00	 97.59
1419.00	 97.58
1420.00	 97.55
1421.00	 97.52
1422.00	 97.48
1423.00	 97.45
1424.00	 97.41
1425.00	 97.35
1426.00	 97.29
1427.00	 97.23
1428.00	 97.16
